Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
How deep is Lake Placid?,['http://dbpedia.org/resource/Lake_Placid_(Texas)'],['http://dbpedia.org/ontology/maximumDepth'],['http://dbpedia.org/resource/Lake_Placid'],0.0,0.0,['http://dbpedia.org/ontology/capital'],0.0,0.0
Show me all museums in London.,['http://dbpedia.org/resource/London'],[],"['http://dbpedia.org/resource/Museums_in_Aalborg', 'http://dbpedia.org/resource/London']",0.5,1.0,['http://dbpedia.org/ontology/show'],0,0
Quali grotte hanno più di 3 entrate?,[],[],['http://dbpedia.org/resource/Grotte_di_Pilato'],0,0,['http://dbpedia.org/ontology/spike'],0,0
Who is the tallest player of the Atlanta Falcons?,['http://dbpedia.org/resource/Atlanta_Falcons'],['http://dbpedia.org/ontology/team'],['http://dbpedia.org/resource/Atlanta_Falcons'],1.0,1.0,['http://dbpedia.org/ontology/coach'],0.0,0.0
What are the top-10 action role-playing video games according to IGN?,['http://dbpedia.org/resource/Category:Action_role-playing_video_games'],['http://purl.org/dc/terms/subject'],"['http://dbpedia.org/resource/Action_role-playing_games', 'http://dbpedia.org/resource/IGN']",0.0,0.0,[],0,0.0
Give me all writers that won the Nobel Prize in literature.,['http://dbpedia.org/resource/Nobel_Prize_in_Literature'],[],"['http://dbpedia.org/resource/Nobel_Prize', 'http://dbpedia.org/resource/Literature']",0.0,0.0,"['http://dbpedia.org/ontology/writer', 'http://dbpedia.org/ontology/award']",0,0
Show me all basketball players that are higher than 2 meters.,[],[],['http://dbpedia.org/resource/National_Basketball_Players_Association'],0,0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/seniority', 'http://dbpedia.org/ontology/iso6392Code']",0,0
When was the Statue of Liberty built?,['http://dbpedia.org/resource/Statue_of_Liberty'],['http://dbpedia.org/property/beginningDate'],['http://dbpedia.org/resource/Statue_of_Liberty'],1.0,1.0,['http://dbpedia.org/ontology/numberBuilt'],0.0,0.0
Which states border Illinois?,['http://dbpedia.org/resource/Illinois'],['http://dbpedia.org/property/borderingstates'],['http://dbpedia.org/resource/Illinois'],1.0,1.0,['http://dbpedia.org/ontology/border'],0.0,0.0
Who developed Minecraft?,['http://dbpedia.org/resource/Minecraft'],['http://dbpedia.org/ontology/developer'],['http://dbpedia.org/resource/Minecraft'],1.0,1.0,['http://dbpedia.org/ontology/developer'],1.0,1.0
Where did Hillel Slovak die?,['http://dbpedia.org/resource/Hillel_Slovak'],['http://dbpedia.org/ontology/deathPlace'],['http://dbpedia.org/resource/Hillel_Slovak'],1.0,1.0,['http://dbpedia.org/ontology/deathDate'],0.0,0.0
What movies does Jesse Eisenberg play in?,['http://dbpedia.org/resource/Jesse_Eisenberg'],[],['http://dbpedia.org/resource/Jesse_Eisenberg'],1.0,1.0,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/ontology/starring']",0,0
Give all swimmers that were born in Moscow.,['http://dbpedia.org/resource/Moscow'],[],"['http://dbpedia.org/resource/Swimmers_(film)', 'http://dbpedia.org/resource/Moscow']",0.5,1.0,['http://dbpedia.org/ontology/birthPlace'],0,0
Give me all cosmonauts.,"['http://dbpedia.org/resource/Russia', 'http://dbpedia.org/resource/Soviet_Union']",[],['http://dbpedia.org/resource/Cosmonauts_Alley'],0.0,0.0,[],1,1
Give me all Swiss non-profit organizations.,"['http://dbpedia.org/resource/Nonprofit_organization', 'http://dbpedia.org/resource/Switzerland', 'http://dbpedia.org/resource/Switzerland']","['http://dbpedia.org/ontology/type', 'http://dbpedia.org/ontology/country']",['http://dbpedia.org/resource/Non–profit_organizations_based_in_California'],0.0,0.0,[],0,0.0
Which presidents were born in 1945?,[],[],['http://dbpedia.org/resource/1945'],0,0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/birthPlace']",0,0
What kind of music did Lou Reed play?,['http://dbpedia.org/resource/Lou_Reed'],['http://dbpedia.org/ontology/genre'],['http://dbpedia.org/resource/Lou_Reed'],1.0,1.0,"['http://dbpedia.org/ontology/musicalBand', 'http://dbpedia.org/ontology/starring']",0.0,0.0
Where do the Red Sox play?,['http://dbpedia.org/resource/Boston_Red_Sox'],['http://dbpedia.org/property/ballpark'],['http://dbpedia.org/resource/Boston_Red_Sox'],1.0,1.0,['http://dbpedia.org/ontology/team'],0.0,0.0
Show a list of soccer clubs that play in the Bundesliga.,['http://dbpedia.org/resource/Bundesliga'],[],['http://dbpedia.org/resource/Bundesliga'],1.0,1.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/clubsRecordGoalscorer', 'http://dbpedia.org/ontology/team']",0,0
Which volcanos in Japan erupted since 2000?,['http://dbpedia.org/resource/Japan'],[],"['http://dbpedia.org/resource/Billings_Volcanos_(basketball)', 'http://dbpedia.org/resource/Japan', 'http://dbpedia.org/resource/2000']",0.3333333333333333,1.0,['http://dbpedia.org/property/erected'],0,0
Which bridges cross the Seine?,['http://dbpedia.org/resource/Seine'],[],['http://dbpedia.org/resource/Seine'],1.0,1.0,"['http://dbpedia.org/ontology/abstract', 'http://dbpedia.org/ontology/network']",0,0
What is the official color of the University of Oxford?,['http://dbpedia.org/resource/University_of_Oxford'],['http://dbpedia.org/ontology/officialSchoolColour'],['http://dbpedia.org/resource/University_of_Oxford'],1.0,1.0,['http://dbpedia.org/ontology/incumbent'],0.0,0.0
How many films did Hal Roach produce?,['http://dbpedia.org/resource/Hal_Roach'],['http://dbpedia.org/ontology/producer'],['http://dbpedia.org/resource/Hal_Roach'],1.0,1.0,"['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/producer']",0.5,1.0
Give me all Danish movies.,['http://dbpedia.org/resource/Denmark'],[],"['http://dbpedia.org/resource/Denmark', 'http://dbpedia.org/resource/The_Movies_(film)']",0.5,1.0,['http://dbpedia.org/ontology/country'],0,0
What is the most frequent cause of death?,[],['http://dbpedia.org/ontology/deathCause'],[],1,1,"['http://dbpedia.org/ontology/patron', 'http://dbpedia.org/ontology/fate']",0.0,0.0
Chi sono i quattro più giovani giocatori di maggior valore (MVP)?,[],[],"['http://dbpedia.org/resource/Montel_Vontavious_Porter', 'http://dbpedia.org/resource/Four_of_the_Apocalypse']",0,0,"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/anthem']",0,0
Give me all companies in Munich.,"['http://dbpedia.org/resource/Munich', 'http://dbpedia.org/resource/Munich', 'http://dbpedia.org/resource/Munich']",[],"['http://dbpedia.org/resource/Companies_listed_on_the_New_York_Stock_Exchange_(J)', 'http://dbpedia.org/resource/Munich']",0.5,0.3333333333333333,[],1,1
Give me the capitals of all countries that the Himalayas run through.,['http://dbpedia.org/resource/Himalayas'],"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/capital']","['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/Himalayas']",0.5,1.0,"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/property/work']",0.5,0.5
How many movies did Park Chan-wook direct?,['http://dbpedia.org/resource/Park_Chan-wook'],['http://dbpedia.org/ontology/director'],['http://dbpedia.org/resource/Park_Chan-wook'],1.0,1.0,['http://dbpedia.org/ontology/film'],0.0,0.0
Which rivers flow into a German lake?,['http://dbpedia.org/resource/Germany'],['http://dbpedia.org/ontology/inflow'],"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/German_Lake']",0.5,1.0,"['http://dbpedia.org/ontology/operator', 'http://dbpedia.org/property/float', 'http://dbpedia.org/ontology/country']",0.0,0.0
How many airlines are there?,[],[],[],1,1,['http://dbpedia.org/ontology/icaoAirlineCode'],0,0
Give me all islands that belong to Japan.,['http://dbpedia.org/resource/Japan'],[],['http://dbpedia.org/resource/Japan'],1.0,1.0,"['http://dbpedia.org/ontology/numberOfIslands', 'http://dbpedia.org/ontology/date']",0,0
How many inhabitants does Maribor have?,['http://dbpedia.org/resource/Maribor'],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Maribor'],1.0,1.0,['http://dbpedia.org/ontology/country'],0.0,0.0
Give me all Apollo 14 astronauts.,['http://dbpedia.org/resource/Apollo_14'],['http://dbpedia.org/ontology/mission'],['http://dbpedia.org/resource/Apollo_14'],1.0,1.0,[],0,0.0
Which companies have more than 1 million employees?,[],[],['http://dbpedia.org/resource/Companies_listed_on_the_New_York_Stock_Exchange_(J)'],0,0,"['http://dbpedia.org/ontology/iso6391Code', 'http://dbpedia.org/ontology/numberOfEmployees']",0,0
In which films directed by Garry Marshall was Julia Roberts starring?,"['http://dbpedia.org/resource/Julia_Roberts', 'http://dbpedia.org/resource/Garry_Marshall']",[],['http://dbpedia.org/resource/Garry_Marshall'],1.0,0.5,"['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/president', 'http://dbpedia.org/ontology/starring']",0,0
Give me all soccer clubs in the Premier League.,['http://dbpedia.org/resource/Premier_League'],[],['http://dbpedia.org/resource/Premier_League'],1.0,1.0,['http://dbpedia.org/ontology/clubsRecordGoalscorer'],0,0
What is the highest place of the Urals?,['http://dbpedia.org/resource/Ural_Mountains'],['http://dbpedia.org/property/highest'],['http://dbpedia.org/resource/Urals_Mussorgsky_State_Conservatoire'],0.0,0.0,['http://dbpedia.org/ontology/highestPlace'],0.0,0.0
Who is the governor of Wyoming?,['http://dbpedia.org/resource/Wyoming'],['http://dbpedia.org/property/governor'],['http://dbpedia.org/resource/Wyoming'],1.0,1.0,['http://dbpedia.org/ontology/governor'],1.0,1.0
Where did the architect of the Eiffel Tower study?,['http://dbpedia.org/resource/Eiffel_Tower'],"['http://dbpedia.org/ontology/architect', 'http://dbpedia.org/property/almaMater']",['http://dbpedia.org/resource/Eiffel_Tower'],1.0,1.0,['http://dbpedia.org/ontology/architect'],1.0,0.5
Give me all world heritage sites designated within the past two years.,[],['http://dbpedia.org/property/year'],[],1,1,"['http://dbpedia.org/ontology/fate', 'http://dbpedia.org/ontology/class']",0.0,0.0
Give me all actors who were born in Paris after 1950.,['http://dbpedia.org/resource/Paris'],"['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/birthDate']","['http://dbpedia.org/resource/Paris', 'http://dbpedia.org/resource/1950']",0.5,1.0,"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/birthPlace']",0.5,0.5
Which movies star both Liz Taylor and Richard Burton?,"['http://dbpedia.org/resource/Elizabeth_Taylor', 'http://dbpedia.org/resource/Richard_Burton']",['http://dbpedia.org/ontology/starring'],"['http://dbpedia.org/resource/Liz:_The_Elizabeth_Taylor_Story', 'http://dbpedia.org/resource/Richard_Burton']",0.5,0.5,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/property/name']",0.0,0.0
Give me all Australian nonprofit organizations.,"['http://dbpedia.org/resource/Nonprofit_organization', 'http://dbpedia.org/resource/Australia', 'http://dbpedia.org/resource/Australia']","['http://dbpedia.org/ontology/type', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/Australia', 'http://dbpedia.org/resource/Master_of_Nonprofit_Organizations']",0.5,0.3333333333333333,['http://dbpedia.org/ontology/country'],1.0,0.5
Which pope succeeded John Paul II?,['http://dbpedia.org/resource/Pope_John_Paul_II'],['http://dbpedia.org/property/successor'],"['http://dbpedia.org/resource/Ii', 'http://dbpedia.org/resource/John_Paul']",0.0,0.0,"['http://dbpedia.org/property/popeElected', 'http://dbpedia.org/ontology/successor']",0.5,1.0
Give me all ESA astronauts.,['http://dbpedia.org/resource/European_Space_Agency'],[],['http://dbpedia.org/resource/European_Free_Trade_Association_Surveillance_Authority'],0.0,0.0,['http://dbpedia.org/ontology/countryWithFirstAstronaut'],0,0
Who was president of Pakistan in 1978?,['http://dbpedia.org/resource/President_of_Pakistan'],['http://dbpedia.org/property/title'],"['http://dbpedia.org/resource/Pakistan', 'http://dbpedia.org/resource/1978']",0.0,0.0,['http://dbpedia.org/ontology/president'],0.0,0.0
Who is the owner of Rolls-Royce?,['http://dbpedia.org/resource/Rolls-Royce_Motors'],['http://dbpedia.org/ontology/owner'],['http://dbpedia.org/resource/Rolls-Royce'],0.0,0.0,['http://dbpedia.org/ontology/owner'],1.0,1.0
How many museums does Paris have?,['http://dbpedia.org/resource/Paris'],[],"['http://dbpedia.org/resource/Museums_in_Aalborg', 'http://dbpedia.org/resource/Paris']",0.5,1.0,[],1,1
Where was JFK assassinated?,['http://dbpedia.org/resource/John_F._Kennedy'],['http://dbpedia.org/ontology/deathPlace'],"['http://dbpedia.org/resource/John_F._Kennedy_International_Airport', 'http://dbpedia.org/resource/Assassinated_Catholic_priests_in_Guatemala']",0.0,0.0,[],0,0.0
Give me all federal chancellors of Germany.,['http://dbpedia.org/resource/Chancellor_of_Germany'],[],['http://dbpedia.org/resource/Germany'],0.0,0.0,['http://dbpedia.org/ontology/federalState'],0,0
Show me everyone who was born on Halloween.,['http://dbpedia.org/resource/Halloween'],[],['http://dbpedia.org/resource/Halloween'],1.0,1.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/birthPlace']",0,0
Quale birra è originaria dell'Irlanda?,"['http://dbpedia.org/resource/Beer', 'http://dbpedia.org/resource/Beer_in_Ireland']",['http://dbpedia.org/property/type'],['http://dbpedia.org/resource/Sverre_Quale'],0.0,0.0,[],0,0.0
To which countries does the Himalayan mountain system extend?,['http://dbpedia.org/resource/Himalayas'],['http://dbpedia.org/ontology/country'],"['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/Himalayan']",0.0,0.0,['http://dbpedia.org/ontology/border'],0.0,0.0
Which actors were born in Germany?,"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Germany']",['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Germany'],1.0,0.5,"['http://dbpedia.org/ontology/award', 'http://dbpedia.org/ontology/birthPlace']",0.0,0.0
How much carbs does peanut butter have?,['http://dbpedia.org/resource/Peanut_butter'],['http://dbpedia.org/property/carbs'],"['http://dbpedia.org/resource/Carby', 'http://dbpedia.org/resource/Peanut_butter']",0.5,1.0,[],0,0.0
Who produced the most films?,[],['http://dbpedia.org/ontology/producer'],[],1,1,"['http://dbpedia.org/ontology/wineProduced', 'http://dbpedia.org/ontology/numberOfFilms']",0.0,0.0
How many employees does Google have?,['http://dbpedia.org/resource/Google'],['http://dbpedia.org/ontology/numberOfEmployees'],['http://dbpedia.org/resource/Google'],1.0,1.0,['http://dbpedia.org/ontology/numberOfEmployees'],1.0,1.0
Give me all actors who were born in Berlin.,['http://dbpedia.org/resource/Berlin'],[],['http://dbpedia.org/resource/Berlin'],1.0,1.0,"['http://dbpedia.org/ontology/award', 'http://dbpedia.org/ontology/birthPlace']",0,0
Who created Goofy?,['http://dbpedia.org/resource/Goofy'],['http://dbpedia.org/ontology/creator'],['http://dbpedia.org/resource/Goofy'],1.0,1.0,['http://dbpedia.org/ontology/creator'],1.0,1.0
Which music albums contain the song Last Christmas?,[],[],['http://dbpedia.org/resource/The_Last_Song_(film)'],0,0,['http://dbpedia.org/ontology/musicComposer'],0,0
When was Alberta admitted as province?,['http://dbpedia.org/resource/Alberta'],['http://dbpedia.org/property/admittancedate'],['http://dbpedia.org/resource/Alberta'],1.0,1.0,"['http://dbpedia.org/property/known', 'http://dbpedia.org/ontology/province']",0.0,0.0
How many missions does the Soyuz programme have?,['http://dbpedia.org/resource/Soyuz_programme'],['http://dbpedia.org/property/programme'],['http://dbpedia.org/resource/Soyuz_programme'],1.0,1.0,['http://dbpedia.org/ontology/missions'],0.0,0.0
Give me all the TV shows with Neil Patrick Harris.,['http://dbpedia.org/resource/Neil_Patrick_Harris'],[],"['http://dbpedia.org/resource/Tv_test_pattern', 'http://dbpedia.org/resource/Neil_Patrick_Harris']",0.5,1.0,['http://dbpedia.org/ontology/place'],0,0
When were the Hells Angels founded?,['http://dbpedia.org/resource/Hells_Angels'],['http://dbpedia.org/property/founded'],['http://dbpedia.org/resource/Hells_Angels'],1.0,1.0,['http://dbpedia.org/property/founded'],1.0,1.0
What is the net income of Apple?,['http://dbpedia.org/resource/Apple_Inc.'],['http://dbpedia.org/ontology/netIncome'],['http://dbpedia.org/resource/Apple_Inc.'],1.0,1.0,['http://dbpedia.org/ontology/successor'],0.0,0.0
Give me all Swedish holidays.,['http://dbpedia.org/resource/Sweden'],[],"['http://dbpedia.org/resource/Sweden', 'http://dbpedia.org/resource/Swedish']",0.5,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/country']",0,0
In which city was the former Dutch queen Juliana buried?,['http://dbpedia.org/resource/Juliana_of_the_Netherlands'],['http://dbpedia.org/property/burialPlace'],['http://dbpedia.org/resource/Juliana_Maria_of_Brunswick-Wolfenbüttel'],0.0,0.0,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/flag']",0.0,0.0
List all the musicals with music by Leonard Bernstein.,['http://dbpedia.org/resource/Leonard_Bernstein'],[],['http://dbpedia.org/resource/Leonard_Bernstein'],1.0,1.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/musicBy']",0,0
Give me all companies in the advertising industry.,['http://dbpedia.org/resource/Advertising'],[],['http://dbpedia.org/resource/Companies_listed_on_the_New_York_Stock_Exchange_(J)'],0.0,0.0,['http://dbpedia.org/property/industry'],0,0
What is the largest metropolitan area in Washington state?,['http://dbpedia.org/resource/Washington_(state)'],['http://dbpedia.org/property/largestmetro'],"['http://dbpedia.org/resource/Metropolitan_area', 'http://dbpedia.org/resource/Washington']",0.0,0.0,[],0,0.0
Who killed John Lennon?,['http://dbpedia.org/resource/Death_of_John_Lennon'],[],['http://dbpedia.org/resource/John_Lennon'],0.0,0.0,['http://dbpedia.org/ontology/billed'],0,0
Which writers studied in Istanbul?,"['http://dbpedia.org/resource/Istanbul', 'http://dbpedia.org/resource/Istanbul']",[],['http://dbpedia.org/resource/Istanbul'],1.0,0.5,"['http://dbpedia.org/ontology/writer', 'http://dbpedia.org/ontology/office']",0,0
Give me all Australian metalcore bands.,"['http://dbpedia.org/resource/Metalcore', 'http://dbpedia.org/resource/Australia', 'http://dbpedia.org/resource/Australia']",['http://dbpedia.org/ontology/country'],"['http://dbpedia.org/resource/Australia', 'http://dbpedia.org/resource/List_of_metalcore_bands']",0.5,0.3333333333333333,['http://dbpedia.org/ontology/country'],1.0,1.0
Which countries adopted the Euro?,['http://dbpedia.org/resource/Euro'],[],"['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/Euro']",0.5,1.0,[],1,1
Give me all types of eating disorders.,[],[],['http://dbpedia.org/resource/Disorders_of_consciousness'],0,0,"['http://dbpedia.org/property/type', 'http://dbpedia.org/ontology/house']",0,0
Was Marc Chagall a jew?,['http://dbpedia.org/resource/Marc_Chagall'],['http://dbpedia.org/property/ethnicity'],['http://dbpedia.org/resource/Marc_Chagall'],1.0,1.0,['http://dbpedia.org/ontology/outflow'],0.0,0.0
What was Brazil's lowest rank in the FIFA World Ranking?,['http://dbpedia.org/resource/Brazil_national_football_team'],['http://dbpedia.org/property/fifaMin'],"['http://dbpedia.org/resource/Brazil', 'http://dbpedia.org/resource/RANK', 'http://dbpedia.org/resource/FIFA', 'http://dbpedia.org/resource/WBSC_World_Rankings']",0.0,0.0,[],0,0.0
How many films did Leonardo DiCaprio star in?,['http://dbpedia.org/resource/Leonardo_DiCaprio'],[],['http://dbpedia.org/resource/Leonardo_DiCaprio'],1.0,1.0,['http://dbpedia.org/ontology/numberOfFilms'],0,0
Was Margaret Thatcher a chemist?,"['http://dbpedia.org/resource/Margaret_Thatcher', 'http://dbpedia.org/resource/Chemist']",['http://dbpedia.org/ontology/profession'],"['http://dbpedia.org/resource/Margaret_Thatcher', 'http://dbpedia.org/resource/Chemist']",1.0,1.0,[],0,0.0
Which U.S. states are in the same time zone as Utah?,"['http://dbpedia.org/resource/Utah', 'http://dbpedia.org/resource/Utah']",['http://dbpedia.org/property/timezone'],"['http://dbpedia.org/resource/Usk,_Washington', 'http://dbpedia.org/resource/Utah']",0.5,0.5,['http://dbpedia.org/property/timezone'],1.0,1.0
Give me all books written by Danielle Steel.,['http://dbpedia.org/resource/Danielle_Steel'],[],['http://dbpedia.org/resource/Danielle_Steel'],1.0,1.0,"['http://dbpedia.org/ontology/volume', 'http://dbpedia.org/ontology/writer']",0,0
Which country has the most official languages?,[],['http://dbpedia.org/property/officialLanguages'],[],1,1,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/incumbent']",0.0,0.0
